JUNTAS
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
271,166,3,163,60.1476,157,57.9335,2.214,6,76230,52400,0,68.7393

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040146B0100,040146B010007,04,CAMPECHE,001,PICH,0146,01,B,00,2,7,102,409,0,409,27,109,2,3,2,150,98,1,2,2,1,2,0,0,0,10,0,409,491,0,,1,F,b8cfda8b5b3499f654b3f42f106a85e53642cb3180a513d12f3559bdcecdc287,07/06/2021 11:07:00,07/06/2021 11:21:38,,CATD,ESCANER,ACTA PREP
040157B0100,040157B010007,04,CAMPECHE,005,BECAL,0157,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,
040157C0100,040157C010007,04,CAMPECHE,005,BECAL,0157,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,
040158B0100,040158B010007,04,CAMPECHE,006,NUNKINI,0158,01,B,00,2,7,53,408,0,408,4,133,9,5,11,122,103,2,1,6,1,0,0,1,0,10,408,408,441,0,,1,F,8af744f014590cdbc245e691a586a43984b43d6a7c978ddec2da02b20a6a1a59,07/06/2021 07:19:00,07/06/2021 07:31:33,,CATD,ESCANER,ACTA PREP
040158C0100,040158C010007,04,CAMPECHE,006,NUNKINI,0158,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,441,,,,,,,,,,,
040159B0100,040159B010007,04,CAMPECHE,005,BECAL,0159,01,B,00,1,7,143,288,2,289,29,68,10,4,3,60,90,10,1,0,4,0,0,0,0,10,289,289,412,2,,1,F,0335890477332e4dda0d1bd46a3b033527b49787492aedc2bff4dc473a682df6,07/06/2021 06:06:00,07/06/2021 06:10:40,07/06/2021 06:20:04,CATD,ESCANER,ACTA PREP
040159C0100,040159C010007,04,CAMPECHE,005,BECAL,0159,01,C,00,1,7,,,,,,,,,,,,,,,,,,,,,,,411,,,,,,,,,,,
040160B0100,040160B010007,04,CAMPECHE,005,BECAL,0160,01,B,00,2,7,124,310,3,313,44,60,4,1,3,83,98,4,2,1,1,1,0,1,0,10,313,313,417,3,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,8d9be0d15ee5f56602d0fac07961c5ab862180056cd1f8afc0f1cc04b826c668,07/06/2021 04:29:00,07/06/2021 04:32:56,07/06/2021 04:40:05,CATD,ESCANER,ACTA PREP
040160C0100,040160C010007,04,CAMPECHE,005,BECAL,0160,01,C,00,2,7,137,314,6,320,34,90,3,2,8,69,100,2,2,0,2,0,0,0,1,7,320,320,417,6,,1,F,7c429d93addf74e2ca0b61aab3499f112fb3137380862e09114040c3f907eab6,07/06/2021 04:44:00,07/06/2021 04:47:26,07/06/2021 05:00:06,CATD,ESCANER,ACTA PREP
040161B0100,040161B010007,04,CAMPECHE,005,BECAL,0161,01,B,00,1,7,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,
040161C0100,040161C010007,04,CAMPECHE,005,BECAL,0161,01,C,00,1,7,,,,,,,,,,,,,,,,,,,,,,,406,,,,,,,,,,,
040162B0100,040162B010007,04,CAMPECHE,005,BECAL,0162,01,B,00,1,7,,,,,,,,,,,,,,,,,,,,,,,521,,,,,,,,,,,
040162C0100,040162C010007,04,CAMPECHE,005,BECAL,0162,01,C,00,1,7,135,403,3,0,65,82,4,2,14,116,99,5,6,4,3,0,0,0,0,5,405,405,521,3,,1,F,5170fc570c580f4d840c10e0fedc004a1fcfcb4cbeb7657b5c1e667ee62e857a,07/06/2021 09:12:00,07/06/2021 09:15:07,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040163B0100,040163B010007,04,CAMPECHE,005,BECAL,0163,01,B,00,1,7,,,,,,,,,,,,,,,,,,,,,,,415,,,,,,,,,,,
040163C0100,040163C010007,04,CAMPECHE,005,BECAL,0163,01,C,00,1,7,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,
040164B0100,040164B010007,04,CAMPECHE,005,BECAL,0164,01,B,00,1,7,,,,,,,,,,,,,,,,,,,,,,,447,,,,,,,,,,,
040164C0100,040164C010007,04,CAMPECHE,005,BECAL,0164,01,C,00,1,7,140,315,12,327,28,86,4,3,11,99,81,5,2,0,2,0,0,0,0,6,327,327,447,12,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,21e9e3b1a8ab0bbd71132674f0b193c344b6dd03a69c22d9da68256e6561f572,07/06/2021 04:27:00,07/06/2021 04:29:31,07/06/2021 04:40:05,CATD,ESCANER,ACTA PREP
040165B0100,040165B010007,04,CAMPECHE,006,NUNKINI,0165,01,B,00,2,7,27,276,2,278,48,111,19,0,0,88,8,0,0,1,0,0,0,0,0,2,278,277,285,2,,1,F,5fe517001bcef082c071020666827222589ea8ac088fe5f7238b5eecbc0cdbea,06/06/2021 23:02:00,06/06/2021 23:25:07,06/06/2021 23:40:04,CATD,ESCANER,ACTA PREP
040166B0100,040166B010007,04,CAMPECHE,006,NUNKINI,0166,01,B,00,1,7,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
040166C0100,040166C010007,04,CAMPECHE,006,NUNKINI,0166,01,C,00,1,7,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
040166C0200,040166C020007,04,CAMPECHE,006,NUNKINI,0166,02,C,00,1,7,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
040167B0100,040167B010007,04,CAMPECHE,006,NUNKINI,0167,01,B,00,2,7,107,511,6,517,3,149,1,16,15,215,110,3,3,0,1,1,0,0,0,0,517,517,604,6,,1,F,633017f41388dbd08bc9efebb49f245b1b61f658770df5209501ebebf0ce01d0,07/06/2021 06:32:00,07/06/2021 06:36:05,07/06/2021 07:00:07,CATD,ESCANER,ACTA PREP
040167C0100,040167C010007,04,CAMPECHE,006,NUNKINI,0167,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,603,,,,,,,,,,,
040168B0100,040168B010007,04,CAMPECHE,006,NUNKINI,0168,01,B,00,1,7,,,,,,,,,,,,,,,,,,,,,,,671,,,,,,,,,,,
040168C0100,040168C010007,04,CAMPECHE,006,NUNKINI,0168,01,C,00,1,7,,,,,,,,,,,,,,,,,,,,,,,671,,,,,,,,,,,
040170B0100,040170B010007,04,CAMPECHE,006,NUNKINI,0170,01,B,00,2,7,64,443,11,454,2,194,1,2,0,178,63,0,1,1,2,0,0,1,0,9,454,454,497,11,,1,F,d81736389487842df12ba2b9ee8f42b736cdc122b6f41c1139556aa823455c88,07/06/2021 08:37:00,07/06/2021 08:41:10,07/06/2021 09:00:05,CATD,ESCANER,ACTA PREP
040170C0100,040170C010007,04,CAMPECHE,006,NUNKINI,0170,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,
040171B0100,040171B010007,04,CAMPECHE,006,NUNKINI,0171,01,B,00,2,7,99,621,1,622,0,245,0,9,6,256,90,1,4,4,0,0,0,0,0,7,622,622,702,1,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,c3b72ddfae62db20d8d7e625f8c5cdb718b66d918b3c03aef3035b5510e9d0c4,07/06/2021 02:28:00,07/06/2021 02:30:20,07/06/2021 02:40:07,CATD,ESCANER,ACTA PREP
040182B0100,040182B010007,04,CAMPECHE,006,NUNKINI,0182,01,B,00,2,7,32,168,0,168,32,50,1,1,2,70,10,0,0,1,0,0,0,0,0,1,168,168,180,0,,1,F,e3d06d436253477caeedf6bd02c5d04db13db491ba9028292bb152df6bdbebdf,07/06/2021 01:18:00,07/06/2021 01:22:34,07/06/2021 01:40:06,CATD,ESCANER,ACTA PREP
040359B0100,040359B010007,04,CAMPECHE,022,CONSTITUCION,0359,01,B,00,2,7,135,375,0,375,1,108,2,8,1,59,167,8,7,0,5,0,1,0,0,8,375,375,490,0,,1,F,d7e4e5e63fd2b589b6a361b345fcf15cf99acf1b98519e3008b0f20dde797c2a,07/06/2021 09:34:00,07/06/2021 10:26:56,07/06/2021 10:40:04,CATD,ESCANER,ACTA PREP
040359C0100,040359C010007,04,CAMPECHE,022,CONSTITUCION,0359,01,C,00,2,7,140,370,0,370,1,88,5,10,1,59,183,7,6,0,1,0,0,1,0,8,370,370,490,0,,1,F,13b5d4c1ad25708d3175fdf43015e33edcea2c2ededdd8b0a563f9e30bab00b9,07/06/2021 09:16:00,07/06/2021 09:19:54,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040360B0100,040360B010007,04,CAMPECHE,022,CONSTITUCION,0360,01,B,00,2,7,333,392,1,393,4,90,0,2,3,68,191,7,8,2,4,1,0,0,0,13,393,393,706,1,,1,F,9c99a7f44f9686788704bc6a3e2a42a813cfeda548d7984d0564d78de7a60867,07/06/2021 09:27:00,07/06/2021 09:30:36,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040360C0100,040360C010007,04,CAMPECHE,022,CONSTITUCION,0360,01,C,00,2,7,295,430,1,431,9,109,1,9,0,77,207,9,0,0,4,0,0,0,0,16,431,441,706,1,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,85204e3cb9e10217c3f2c9a2ef1c10180040446249c791dbff9d710e606ee118,07/06/2021 09:37:00,07/06/2021 09:40:59,07/06/2021 10:00:06,CATD,ESCANER,ACTA PREP
