GUBERNATURA
01/06/2021 18:52 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1190,0,0,0,0,0,0,0,0,0,,0,

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'040021C0100,'040021C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0021,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,546,,,,,,,,,,,
'040021C0200,'040021C020005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0021,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,545,,,,,,,,,,,
'040022B0100,'040022B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0022,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,
'040022C0100,'040022C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0022,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,469,,,,,,,,,,,
'040023B0100,'040023B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0023,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,466,,,,,,,,,,,
'040023C0100,'040023C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0023,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,465,,,,,,,,,,,
'040024B0100,'040024B010005,'04,CAMPECHE,'007,007. TENABO,'0024,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,558,,,,,,,,,,,
'040024C0100,'040024C010005,'04,CAMPECHE,'007,007. TENABO,'0024,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,,,,
'040025B0100,'040025B010005,'04,CAMPECHE,'007,007. TENABO,'0025,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,597,,,,,,,,,,,
'040026B0100,'040026B010005,'04,CAMPECHE,'007,007. TENABO,'0026,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,547,,,,,,,,,,,
