AYUNTAMIENTOS
07/06/2021 14:40 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1193,927,3,924,77.4518,905,75.8591,1.5926,19,501897,319528,318877,63.5343

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,CAND_IND_1,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040010C0100,040010C010002,04,CAMPECHE,001,CAMPECHE,0010,01,C,00,1,2,237,303,10,308,9,49,3,5,4,127,91,4,3,1,,2,2,0,0,0,10,310,310,528,10,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,1e912bc96e7b4d8aeafc5ff0d7ef8ef2303e82c2c08b05f24cdaa121a5a885a5,07/06/2021 00:50:00,07/06/2021 00:53:54,07/06/2021 01:00:06,CATD,ESCANER,ACTA PREP
040011B0100,040011B010002,04,CAMPECHE,001,CAMPECHE,0011,01,B,00,1,2,169,298,9,307,15,84,3,8,2,109,72,1,0,0,,4,0,0,0,0,9,307,307,457,9,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,0937df9f33a2716cbacfb5d852d06f97568133d57240ac64463c8150cf801fb5,07/06/2021 01:45:00,07/06/2021 01:51:54,07/06/2021 02:00:07,CATD,ESCANER,ACTA PREP
040011C0100,040011C010002,04,CAMPECHE,001,CAMPECHE,0011,01,C,00,1,2,143,325,7,334,15,82,1,1,3,133,84,1,0,2,,4,1,0,1,0,6,334,334,456,7,,1,F,8b14b5595a692f83feaaa85aa40f504cfedddb5fd95cb36521e6244d46860a44,07/06/2021 01:50:00,07/06/2021 01:54:00,07/06/2021 02:00:07,CATD,ESCANER,ACTA PREP
040012B0100,040012B010002,04,CAMPECHE,001,CAMPECHE,0012,01,B,00,1,2,163,362,5,367,13,84,1,4,5,118,121,4,0,6,,5,0,0,0,0,6,367,367,510,5,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,3e41c7302075603f145a90ea75d3f10532cd22e4846e6c9a2f531626524a6d13,07/06/2021 08:10:00,07/06/2021 08:12:19,07/06/2021 08:20:05,CATD,ESCANER,ACTA PREP
040012C0100,040012C010002,04,CAMPECHE,001,CAMPECHE,0012,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,
040012C0200,040012C020002,04,CAMPECHE,001,CAMPECHE,0012,02,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,509,,,,,,,,,,,
040012S0100,040012S010002,04,CAMPECHE,001,CAMPECHE,0012,01,S,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
040013B0100,040013B010002,04,CAMPECHE,001,CAMPECHE,0013,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,
040013C0100,040013C010002,04,CAMPECHE,001,CAMPECHE,0013,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,
040014B0100,040014B010002,04,CAMPECHE,001,CAMPECHE,0014,01,B,00,1,2,230,331,3,333,13,82,2,7,6,116,81,4,1,1,,6,3,0,0,0,8,333,330,544,3,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,b45fca3a5f112580fb77af2102065fc0f4128c6068d1307317ad04fc529d6171,07/06/2021 08:51:00,07/06/2021 08:54:29,07/06/2021 09:00:06,CATD,ESCANER,ACTA PREP
040014C0100,040014C010002,04,CAMPECHE,001,CAMPECHE,0014,01,C,00,1,2,210,0,0,0,13,97,0,7,4,130,83,5,1,1,,0,0,0,0,0,8,352,349,544,0,,1,F,3c8e37df451f6e64ef1521cfcecec89ae7a65cd72997ddbf207c210eed936f17,06/06/2021 23:51:00,06/06/2021 23:57:42,07/06/2021 00:00:06,CATD,ESCANER,ACTA PREP
040015B0100,040015B010002,04,CAMPECHE,001,CAMPECHE,0015,01,B,00,1,2,235,355,6,361,16,55,3,4,3,168,86,2,2,2,,10,1,0,0,0,9,361,361,576,6,,1,F,75f66c0608306db5ccb42118e4df694e8d2cc0aa9a2f4564e98033132805de3a,07/06/2021 09:18:00,07/06/2021 09:20:22,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040015C0100,040015C010002,04,CAMPECHE,001,CAMPECHE,0015,01,C,00,1,2,253,343,4,341,15,50,3,8,3,180,66,2,2,1,,1,1,0,0,0,9,341,341,576,4,,1,F,c869f1b7091cbf50fb284ee1d803eb3fe61ae81ee9b7bc277fbbedfe4082bc12,07/06/2021 08:21:00,07/06/2021 08:23:30,07/06/2021 08:40:05,CATD,ESCANER,ACTA PREP
040016B0100,040016B010002,04,CAMPECHE,001,CAMPECHE,0016,01,B,00,1,2,0,0,0,364,16,65,1,1,1,189,78,3,0,4,,0,1,0,0,0,4,364,363,599,0,,1,F,f56d66dca82dc357c9076e93f8404e037ad4dfbb1d5a0c076de39bc21fff8206,07/06/2021 04:19:00,07/06/2021 04:31:36,,CATD,ESCANER,ACTA PREP
040016C0100,040016C010002,04,CAMPECHE,001,CAMPECHE,0016,01,C,00,1,2,244,366,8,0,11,64,0,5,2,213,65,2,0,2,,0,1,0,0,0,9,374,374,599,8,,1,F,fca4add82eb0e3b3fe28ac7451087b920afd7e6843f606ac58744e1206a8462f,07/06/2021 02:25:00,07/06/2021 02:29:25,07/06/2021 02:40:07,CATD,ESCANER,ACTA PREP
040017B0100,040017B010002,04,CAMPECHE,001,CAMPECHE,0017,01,B,00,2,2,339,371,382,382,14,50,3,7,7,183,107,0,1,0,,4,0,0,0,0,5,382,381,701,382,,1,F,38d0a2e36e91cb7de47d9cfbf9c483503eb403b53e4676e44149bfd74a708495,07/06/2021 08:42:00,07/06/2021 08:55:22,,CATD,ESCANER,ACTA PREP
040017C0100,040017C010002,04,CAMPECHE,001,CAMPECHE,0017,01,C,00,2,2,305,405,11,416,21,77,1,4,2,187,110,3,1,2,,1,0,0,0,0,7,416,416,701,11,,1,F,f3f0ea16d464b7f242b8ea3865279b3ba8d1c0c29ee6310331ec2000dd75c5c3,07/06/2021 10:56:00,07/06/2021 11:00:53,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040017C0200,040017C020002,04,CAMPECHE,001,CAMPECHE,0017,02,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,701,,,,,,,,,,,
